Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2001-02-02,4290,4390,4220,4290,3224.111572,27330000,3201.565104,3123.404932
2001-02-05,4170,4200,3990,4030,3028.710205,47135000,3246.657471,3170.00044
2001-02-06,3980,4020,3910,4010,3013.679688,31545000,3153.967122,3171.503418
2001-02-07,3960,3990,3900,3900,2931.009766,23130000,3088.833822,3156.472461
2001-02-08,3920,4060,3890,4060,3051.256348,34685000,2991.13322,3081.318164
2001-02-09,4040,4100,3980,4070,3058.771973,25230000,2998.648601,3049.753516
2001-02-12,3840,4050,3840,3970,2983.617676,36110000,3013.679362,3016.685596
2001-02-13,4040,4100,3970,3980,2991.134033,22295000,3031.215332,3007.66709
2001-02-14,3920,4040,3900,3980,2991.134033,19710000,3011.174561,3003.157959
2001-02-15,4200,4210,4100,4130,3103.864258,34930000,2988.628581,3015.182813
2001-02-16,4150,4310,4130,4250,3194.049805,46375000,3028.710775,3025.704395
2001-02-19,4180,4210,4100,4190,3148.956543,22880000,3096.349365,3052.759961
2001-02-20,4190,4280,4180,4240,3186.533936,18175000,3148.956869,3085.827734
2001-02-21,4160,4200,4140,4160,3126.410645,19500000,3176.513428,3124.907715
2001-02-22,4080,4100,3940,4010,3013.679688,43605000,3153.967041,3151.963037
2001-02-23,3920,3970,3830,3840,2885.917969,76855000,3108.874756,3133.926123
2001-02-26,3850,3860,3780,3840,2885.917969,35665000,3008.669434,3072.299756
2001-02-27,3840,3940,3790,3790,2848.341309,38695000,2928.505209,3019.692041
2001-02-28,3700,3780,3700,3740,2810.76416,28715000,2873.392416,2952.053516
2001-03-01,3740,3740,3740,3740,2810.76416,0,2848.341146,2888.924219
2001-03-02,3700,3700,3580,3610,2713.063721,44500000,2823.289876,2848.341113
2001-03-05,3530,3720,3530,3720,2795.732666,24620000,2778.197347,2813.770264
2001-03-06,3820,3850,3760,3800,2855.855957,25500000,2773.186849,2795.733203
2001-03-07,3960,4010,3900,4000,3006.164551,52640000,2788.217448,2797.236133
2001-03-08,3950,4010,3910,4010,3013.679688,31360000,2885.917725,2836.316211
2001-03-09,3940,3940,3820,3840,2885.917969,30800000,2958.566732,2876.899317
2001-03-12,3700,3760,3650,3670,2758.156006,38610000,2968.587403,2911.470166
2001-03-13,3570,3650,3540,3640,2735.609863,33815000,2885.917888,2903.954834
2001-03-14,3640,3640,3640,3640,2735.609863,0,2793.227946,2879.905615
2001-03-15,3790,3930,3760,3920,2946.041016,29370000,2743.125244,2825.794678
2001-03-16,3880,3920,3830,3890,2923.495361,23315000,2805.753581,2812.266943
2001-03-19,3810,3880,3770,3800,2855.855957,24865000,2868.38208,2819.782422
2001-03-20,3900,3920,3820,3820,2870.886963,21455000,2908.464111,2839.322412
